age,net_cash,percentage,product_type,product_name
55,500000,60,stock,JPMorgan
50,100000,85,crypto,ETH
25,5000,35,crypto,ETH
70,500000,30,stock,Coca-Cola
50,100000,70,crypto,ETH
35,500000,55,crypto,BTC
30,500000,15,stock,TESLA
45,5000000,90,crypto,SOL
70,5000000,35,crypto,XRP
35,50000,5,stock,APPLE
55,5000,55,crypto,ETH
25,5000000,85,stock,JPMorgan
25,100000,45,stock,Coca-Cola
55,10000000,20,crypto,DOGE
40,500000,30,stock,TESLA
25,10000,5,crypto,XRP
60,500000,10,crypto,BTC
35,100000,45,crypto,BTC
65,100000,25,crypto,SOL
25,5000,75,stock,JPMorgan
70,10000000,30,stock,Coca-Cola
25,50000,60,crypto,SOL
55,10000000,70,stock,JPMorgan
35,500000,85,stock,APPLE
45,10000,45,stock,JPMorgan
45,1000000,15,stock,GOOGLE
60,5000000,65,crypto,SOL
60,5000,85,stock,GOOGLE
40,5000000,75,crypto,XRP
50,5000,95,crypto,ETH
65,5000,40,stock,JPMorgan
25,5000,75,crypto,DOGE
60,1000000,30,crypto,ETH
70,500000,45,stock,TESLA
30,50000,40,stock,Coca-Cola
60,50000,55,stock,Coca-Cola
35,500000,85,crypto,XRP
35,100000,10,crypto,DOGE
45,5000,20,crypto,XRP
30,5000,80,stock,APPLE
55,10000000,65,stock,GOOGLE
35,1000000,25,stock,TESLA
35,5000000,50,stock,TESLA
55,10000000,35,crypto,SOL
45,5000000,100,crypto,BTC
55,500000,80,crypto,SOL
55,5000000,35,crypto,XRP
40,50000,50,crypto,ETH
60,500000,75,crypto,DOGE
30,100000,100,stock,GOOGLE
45,10000,70,crypto,ETH
55,1000000,50,crypto,BTC
70,500000,100,crypto,BTC
55,50000,15,stock,TESLA
55,1000000,80,stock,JPMorgan
55,1000000,40,crypto,XRP
70,5000000,30,crypto,DOGE
65,1000000,75,crypto,BTC
35,100000,75,stock,JPMorgan
50,1000000,30,crypto,DOGE
70,1000000,65,crypto,XRP
30,500000,95,crypto,ETH
60,100000,70,stock,GOOGLE
30,10000000,15,crypto,XRP
45,5000000,95,crypto,BTC
65,5000000,75,crypto,XRP
35,50000,10,stock,GOOGLE
25,10000000,95,stock,APPLE
40,500000,40,stock,GOOGLE
65,5000000,35,stock,APPLE
65,1000000,20,crypto,DOGE
45,100000,55,stock,JPMorgan
45,10000,35,stock,TESLA
35,100000,35,crypto,BTC
65,500000,95,stock,GOOGLE
25,1000000,90,crypto,XRP
60,5000000,15,crypto,SOL
45,10000,85,stock,JPMorgan
55,5000,70,stock,APPLE
35,10000000,100,stock,APPLE
65,500000,30,crypto,ETH
60,100000,5,stock,Coca-Cola
35,5000,65,crypto,BTC
60,500000,10,crypto,XRP
45,50000,25,crypto,ETH
35,100000,80,stock,GOOGLE
50,100000,15,crypto,SOL
60,100000,45,stock,Coca-Cola
30,50000,25,crypto,XRP
65,10000000,100,stock,Coca-Cola
40,1000000,35,crypto,DOGE
45,1000000,15,stock,JPMorgan
25,10000,65,crypto,SOL
40,500000,45,stock,TESLA
55,100000,75,crypto,DOGE
55,10000,45,stock,GOOGLE
40,10000,60,crypto,SOL
30,10000000,15,crypto,BTC
30,5000,5,crypto,XRP
65,10000000,80,crypto,SOL
55,1000000,60,stock,GOOGLE
40,1000000,100,crypto,BTC
60,50000,35,stock,APPLE
35,1000000,45,crypto,DOGE
40,500000,55,crypto,BTC
50,50000,25,crypto,XRP
70,5000000,35,stock,APPLE
35,50000,20,crypto,ETH
55,10000000,85,stock,Coca-Cola
35,500000,100,stock,TESLA
30,5000,70,stock,TESLA
45,100000,5,crypto,ETH
45,100000,90,stock,Coca-Cola
60,100000,95,stock,TESLA
65,5000000,75,stock,GOOGLE
60,100000,60,crypto,DOGE
25,10000000,90,crypto,XRP
25,500000,50,stock,GOOGLE
25,10000,75,crypto,XRP
70,5000000,100,stock,JPMorgan
70,50000,20,stock,Coca-Cola
55,100000,90,stock,Coca-Cola
70,5000000,45,crypto,DOGE
70,1000000,70,crypto,XRP
50,100000,90,crypto,BTC
60,100000,90,crypto,BTC
45,100000,5,crypto,SOL
65,10000,30,stock,APPLE
60,50000,20,crypto,DOGE
50,50000,60,crypto,ETH
25,10000,65,crypto,BTC
35,10000000,100,stock,GOOGLE
70,5000000,15,crypto,ETH
50,10000,40,crypto,SOL
50,5000000,95,crypto,DOGE
45,10000000,35,crypto,XRP
70,5000000,85,stock,GOOGLE
55,10000000,75,stock,JPMorgan
40,1000000,10,stock,GOOGLE
40,10000000,100,crypto,ETH
30,500000,85,stock,JPMorgan
55,100000,65,crypto,BTC
35,100000,95,crypto,ETH
70,500000,65,stock,GOOGLE
65,5000000,65,stock,APPLE
60,5000000,30,stock,JPMorgan
40,100000,30,crypto,ETH
30,1000000,15,crypto,SOL
35,5000000,20,crypto,BTC
65,500000,80,stock,GOOGLE
30,10000,30,crypto,BTC
65,10000,30,stock,GOOGLE
40,100000,45,crypto,BTC
25,5000,100,crypto,XRP
60,10000,55,crypto,BTC
45,5000000,70,crypto,XRP
55,5000000,90,crypto,DOGE
35,10000,65,crypto,XRP
25,5000,65,crypto,XRP
25,100000,10,crypto,XRP
25,5000,70,stock,GOOGLE
55,10000000,85,stock,TESLA
70,5000000,50,stock,Coca-Cola
50,500000,35,crypto,XRP
45,100000,50,crypto,XRP
70,5000,40,stock,APPLE
35,50000,65,crypto,ETH
50,1000000,45,stock,GOOGLE
70,50000,100,crypto,ETH
70,5000000,15,stock,Coca-Cola
50,5000000,35,crypto,SOL
25,10000,85,stock,Coca-Cola
40,500000,30,stock,APPLE
65,10000,100,stock,Coca-Cola
25,5000,100,stock,APPLE
60,500000,60,stock,Coca-Cola
45,500000,95,crypto,XRP
25,5000000,55,stock,APPLE
45,100000,80,stock,JPMorgan
65,50000,20,stock,JPMorgan
70,10000000,50,crypto,DOGE
55,500000,15,crypto,XRP
65,10000,80,stock,GOOGLE
70,5000000,45,stock,TESLA
60,100000,65,stock,Coca-Cola
70,500000,60,crypto,SOL
55,10000,5,stock,Coca-Cola
60,50000,65,crypto,BTC
65,5000000,5,crypto,DOGE
60,50000,90,crypto,XRP
40,100000,55,crypto,DOGE
25,10000,100,stock,TESLA
45,50000,80,stock,GOOGLE
30,100000,50,crypto,BTC
55,5000000,35,stock,Coca-Cola
50,1000000,85,crypto,ETH
55,50000,20,crypto,ETH
45,10000,25,stock,Coca-Cola
25,1000000,95,stock,JPMorgan
70,10000,40,stock,JPMorgan
