age,gender,net_cash,percentage,product_type,product_name
25,male,5000,75,stock,APPLE
35,female,100000,35,stock,APPLE
60,male,1000000,65,crypto,BTC
30,female,10000000,20,stock,JPMorgan
50,female,10000,85,stock,TESLA
65,female,10000000,95,crypto,BTC
65,male,1000000,55,stock,TESLA
70,female,1000000,20,stock,TESLA
30,male,100000,10,stock,JPMorgan
60,female,50000,95,stock,APPLE
65,male,5000,75,crypto,DOGE
55,male,100000,60,crypto,DOGE
50,male,100000,50,stock,GOOGLE
30,female,5000,5,crypto,DOGE
65,female,100000,70,crypto,ETH
65,female,100000,5,crypto,DOGE
40,male,1000000,75,crypto,DOGE
40,male,1000000,75,crypto,SOL
30,female,1000000,100,stock,GOOGLE
45,male,1000000,35,crypto,BTC
60,female,1000000,50,stock,JPMorgan
50,male,5000,45,stock,APPLE
70,female,10000,35,crypto,SOL
55,male,100000,90,stock,Coca-Cola
50,female,5000000,85,crypto,ETH
30,male,100000,5,stock,Coca-Cola
55,male,10000,85,stock,APPLE
55,female,500000,40,crypto,BTC
70,female,1000000,30,crypto,ETH
25,male,500000,15,crypto,ETH
55,male,10000,65,stock,TESLA
40,female,100000,85,crypto,XRP
45,female,100000,85,crypto,SOL
70,female,5000000,65,stock,JPMorgan
40,female,5000,15,stock,JPMorgan
70,male,10000000,10,stock,JPMorgan
50,female,10000000,95,stock,GOOGLE
60,female,5000,65,crypto,BTC
70,female,500000,25,crypto,XRP
65,male,100000,70,stock,Coca-Cola
60,male,1000000,60,stock,TESLA
60,female,50000,55,crypto,XRP
25,male,50000,80,stock,GOOGLE
65,male,10000,100,stock,Coca-Cola
30,male,1000000,25,stock,TESLA
30,female,500000,55,crypto,DOGE
65,female,500000,50,stock,GOOGLE
70,male,500000,40,crypto,ETH
70,female,5000000,55,stock,TESLA
40,female,50000,45,stock,APPLE
45,male,1000000,85,stock,TESLA
25,female,100000,100,stock,TESLA
60,male,5000,35,crypto,XRP
45,male,1000000,60,crypto,DOGE
35,female,100000,70,crypto,SOL
70,female,10000000,30,crypto,SOL
35,male,1000000,30,crypto,BTC
60,male,50000,80,crypto,BTC
40,male,100000,100,stock,GOOGLE
65,male,50000,5,stock,APPLE
25,male,50000,5,crypto,SOL
40,male,50000,100,crypto,XRP
40,male,5000,25,crypto,ETH
25,male,100000,95,crypto,DOGE
25,female,5000,40,stock,Coca-Cola
40,female,100000,25,stock,GOOGLE
40,female,50000,100,stock,TESLA
35,female,1000000,75,stock,APPLE
45,female,500000,75,crypto,SOL
60,male,100000,35,stock,GOOGLE
30,male,100000,90,crypto,XRP
45,female,10000,35,stock,TESLA
40,female,5000000,5,crypto,SOL
55,male,5000000,75,stock,GOOGLE
35,female,100000,5,stock,JPMorgan
55,female,5000,45,stock,Coca-Cola
55,male,5000,65,stock,TESLA
70,male,5000,50,stock,Coca-Cola
25,male,5000000,75,crypto,BTC
40,male,10000,70,crypto,BTC
30,female,10000,55,stock,TESLA
35,female,100000,90,stock,APPLE
65,male,1000000,20,stock,JPMorgan
60,female,5000,5,crypto,XRP
50,female,10000,95,stock,GOOGLE
50,female,5000,15,stock,GOOGLE
50,male,50000,100,stock,GOOGLE
55,female,10000,40,crypto,XRP
60,male,500000,30,crypto,SOL
45,male,10000,80,crypto,BTC
40,male,10000,80,stock,GOOGLE
65,male,50000,15,stock,GOOGLE
55,male,50000,30,stock,JPMorgan
65,male,5000000,10,stock,JPMorgan
25,female,10000000,40,crypto,ETH
70,male,5000000,5,crypto,BTC
70,male,5000000,75,crypto,SOL
45,male,100000,30,crypto,BTC
60,female,50000,20,crypto,SOL
60,female,10000,80,crypto,XRP
40,female,10000,65,stock,APPLE
50,female,10000,70,stock,Coca-Cola
55,male,100000,75,crypto,BTC
55,female,10000000,60,crypto,ETH
60,male,5000,5,crypto,DOGE
30,male,10000000,90,crypto,ETH
65,male,500000,60,crypto,BTC
65,female,50000,95,crypto,DOGE
65,female,500000,25,crypto,ETH
30,male,500000,65,stock,JPMorgan
55,female,10000000,30,stock,APPLE
70,female,10000000,65,crypto,BTC
70,female,100000,10,crypto,ETH
55,male,50000,40,crypto,XRP
45,male,100000,45,crypto,XRP
30,male,1000000,35,stock,Coca-Cola
35,male,500000,30,stock,GOOGLE
25,male,5000,45,crypto,BTC
60,female,5000000,15,crypto,ETH
60,female,1000000,75,stock,TESLA
55,female,500000,40,crypto,XRP
60,male,10000000,35,crypto,ETH
65,male,10000,45,crypto,DOGE
40,male,1000000,40,stock,TESLA
65,female,50000,25,crypto,XRP
30,female,100000,55,stock,TESLA
60,female,100000,75,stock,Coca-Cola
60,female,10000,65,crypto,SOL
40,female,50000,65,stock,APPLE
65,male,5000,50,stock,TESLA
60,female,10000000,100,stock,GOOGLE
50,female,10000,30,stock,APPLE
65,male,5000000,70,stock,GOOGLE
70,male,500000,15,stock,TESLA
50,male,100000,30,crypto,XRP
25,female,500000,95,crypto,DOGE
65,female,10000,75,stock,APPLE
25,male,100000,60,crypto,ETH
70,male,1000000,100,stock,JPMorgan
50,female,500000,65,crypto,DOGE
25,female,10000000,40,stock,TESLA
70,male,50000,30,stock,JPMorgan
70,female,1000000,35,stock,GOOGLE
25,male,100000,75,stock,Coca-Cola
50,male,5000,90,crypto,ETH
60,male,5000,70,crypto,SOL
55,male,100000,65,stock,GOOGLE
70,male,10000000,30,stock,JPMorgan
60,male,5000,30,crypto,SOL
60,female,10000000,5,stock,TESLA
60,female,5000,95,stock,JPMorgan
25,female,50000,35,crypto,ETH
65,female,10000,90,crypto,DOGE
30,female,1000000,5,stock,TESLA
35,female,5000000,15,stock,TESLA
40,female,100000,80,crypto,BTC
55,female,1000000,5,crypto,ETH
65,male,500000,85,stock,APPLE
50,male,100000,5,crypto,ETH
65,female,5000,70,stock,GOOGLE
70,female,1000000,65,crypto,ETH
55,female,1000000,75,crypto,XRP
45,female,1000000,40,crypto,SOL
35,male,10000,95,stock,Coca-Cola
50,female,1000000,55,stock,JPMorgan
45,female,50000,80,crypto,SOL
70,female,10000000,95,stock,JPMorgan
70,male,10000000,75,crypto,ETH
55,female,500000,55,crypto,BTC
45,female,50000,30,stock,Coca-Cola
65,female,100000,55,stock,GOOGLE
55,female,10000000,5,crypto,XRP
35,female,5000000,50,crypto,ETH
50,female,1000000,35,crypto,BTC
35,female,500000,75,stock,Coca-Cola
40,male,1000000,80,crypto,XRP
60,male,10000,10,crypto,SOL
55,male,5000,35,crypto,SOL
70,male,50000,95,stock,GOOGLE
35,female,500000,45,stock,Coca-Cola
55,female,5000,10,stock,JPMorgan
60,male,1000000,25,stock,Coca-Cola
65,female,50000,10,crypto,DOGE
35,male,5000000,80,stock,JPMorgan
65,female,500000,95,crypto,SOL
70,male,10000,10,crypto,BTC
55,male,100000,65,stock,TESLA
55,male,10000000,95,stock,TESLA
45,female,10000,40,stock,GOOGLE
55,female,10000,15,crypto,ETH
65,female,10000000,100,stock,TESLA
35,male,100000,10,stock,APPLE
55,female,10000000,70,crypto,ETH
40,female,10000,50,crypto,DOGE
35,female,100000,65,crypto,ETH
60,female,10000000,10,crypto,SOL
45,female,1000000,55,stock,Coca-Cola
25,female,5000,50,stock,GOOGLE
60,female,5000000,30,stock,GOOGLE
30,male,1000000,70,crypto,ETH
